Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0.25, 0.25, 0.26, 0.01, 1, 0.26, 0.644, 0.384, 1800, 0, 0.644, 0.894, 0.25, 500, 0.894, 0.904, 0.01, 1800, -1, 0.904, 1.154, 0.25, 500, 1.154, 1.372, 0.218, 1800, -1, 1.372, 1.621, 0.25, 500, 1.621, 1.631, 0.01, 1800, -1, 1.631, 1.881, 0.25, 500, 1.881, 1.891, 0.01, 1800, -1, 1.891, 2.141, 0.25, 500, 2.141, 2.363, 0.222, 1800, -1, 2.363, 2.562, 0.2, 500, 2.562, 2.78, 0.218, 1800, -1, 2.78, 3.03, 0.25, 500, 3.03, 3.04, 0.01, 0, 1, 3.04, 3.05, 0.01, 1,     2.800,
 1, 0, 0.5, 0.5, 0.51, 0.01, 1, 0.51, 0.724, 0.214, 0, 0, 0.724, 1.144, 0.42, 500, 1.144, 1.154, 0.01, 1800, -1, 1.154, 1.403, 0.25, 500, 1.403, 1.621, 0.218, 1800, -1, 1.621, 1.871, 0.25, 500, 1.871, 1.881, 0.01, 1800, -1, 1.881, 2.131, 0.25, 500, 2.131, 2.141, 0.01, 1800, -1, 2.141, 2.39, 0.25, 500, 2.39, 2.612, 0.222, 1800, -1, 2.612, 2.812, 0.2, 500, 2.812, 3.03, 0.218, 1800, -1, 3.03, 3.28, 0.25, 500, 3.28, 3.29, 0.01, 0, 1, 3.29, 3.3, 0.01, 1,     2.800,
 2, 0, 0.75, 0.75, 0.76, 0.01, 1, 0.76, 0.974, 0.214, 0, 0, 0.974, 1.393, 0.419, 500, 1.393, 1.403, 0.01, 1800, -1, 1.403, 1.653, 0.25, 500, 1.653, 1.871, 0.218, 1800, -1, 1.871, 2.12, 0.25, 500, 2.12, 2.131, 0.01, 1800, -1, 2.131, 2.38, 0.25, 500, 2.38, 2.39, 0.01, 1800, -1, 2.39, 2.64, 0.25, 500, 2.64, 2.864, 0.224, 1800, -1, 2.864, 3.064, 0.2, 500, 3.064, 3.282, 0.218, 1800, -1, 3.282, 3.529, 0.248, 500, 3.529, 3.539, 0.01, 0, 1, 3.539, 3.549, 0.01, 1,     2.799,
 3, 0, 1, 1, 1.01, 0.01, 1, 1.01, 1.224, 0.214, 0, 0, 1.224, 1.643, 0.419, 500, 1.643, 1.653, 0.01, 1800, -1, 1.653, 1.911, 0.258, 500, 1.911, 2.131, 0.22, 1800, -1, 2.131, 2.38, 0.249, 500, 2.38, 2.39, 0.01, 1800, -1, 2.39, 2.64, 0.25, 500, 2.64, 2.65, 0.01, 1800, -1, 2.65, 2.9, 0.25, 500, 2.9, 3.122, 0.222, 1800, -1, 3.122, 3.321, 0.2, 500, 3.321, 3.539, 0.218, 1800, -1, 3.539, 3.789, 0.25, 500, 3.789, 3.799, 0.01, 0, 1, 3.799, 3.809, 0.01, 1,     2.809,
 4, 0, 1.25, 1.25, 1.26, 0.01, 1, 1.26, 1.474, 0.214, 0, 0, 1.474, 1.911, 0.437, 500, 1.911, 1.921, 0.01, 1800, -1, 1.921, 2.171, 0.25, 500, 2.171, 2.389, 0.218, 1800, -1, 2.389, 2.63, 0.241, 500, 2.63, 2.64, 0.01, 1800, -1, 2.64, 2.889, 0.25, 500, 2.889, 2.9, 0.01, 1800, -1, 2.9, 3.158, 0.258, 500, 3.158, 3.38, 0.222, 1800, -1, 3.38, 3.579, 0.2, 500, 3.579, 3.797, 0.218, 1800, -1, 3.797, 4.039, 0.242, 500, 4.039, 4.049, 0.01, 0, 1, 4.049, 4.053, 0.004, 1,     2.803,
 5, 0, 1.5, 1.5, 1.51, 0.01, 1, 1.51, 1.724, 0.214, 0, 0, 1.724, 2.161, 0.437, 500, 2.161, 2.171, 0.01, 1800, -1, 2.171, 2.42, 0.25, 500, 2.42, 2.638, 0.218, 1800, -1, 2.638, 2.879, 0.241, 500, 2.879, 2.889, 0.01, 1800, -1, 2.889, 3.148, 0.258, 500, 3.148, 3.158, 0.01, 1800, -1, 3.158, 3.414, 0.256, 500, 3.414, 3.636, 0.222, 1800, -1, 3.636, 3.835, 0.2, 500, 3.835, 4.053, 0.218, 1800, -1, 4.053, 4.299, 0.245, 500, 4.299, 4.309, 0.01, 0, 1, 4.309, 4.31, 0.001, 1,     2.810,
 6, 0, 1.75, 1.75, 1.76, 0.01, 1, 1.76, 1.974, 0.214, 0, 0, 1.974, 2.41, 0.436, 500, 2.41, 2.42, 0.01, 1800, -1, 2.42, 2.67, 0.25, 500, 2.67, 2.888, 0.218, 1800, -1, 2.888, 3.138, 0.25, 500, 3.138, 3.148, 0.01, 1800, -1, 3.148, 3.404, 0.256, 500, 3.404, 3.414, 0.01, 1800, -1, 3.414, 3.67, 0.256, 500, 3.67, 3.892, 0.222, 1800, -1, 3.892, 4.092, 0.2, 500, 4.092, 4.31, 0.218, 1800, -1, 4.31, 4.559, 0.249, 500, 4.559, 4.569, 0.01, 0, 1, 4.569, 4.579, 0.01, 1,     2.829,
 7, 0, 2, 2, 2.01, 0.01, 1, 2.01, 2.224, 0.214, 0, 0, 2.224, 2.66, 0.436, 500, 2.66, 2.67, 0.01, 1800, -1, 2.67, 2.92, 0.249, 500, 2.92, 3.138, 0.218, 1800, -1, 3.138, 3.394, 0.256, 500, 3.394, 3.404, 0.01, 1800, -1, 3.404, 3.66, 0.256, 500, 3.66, 3.67, 0.01, 1800, -1, 3.67, 3.926, 0.256, 500, 3.926, 4.148, 0.222, 1800, -1, 4.148, 4.348, 0.2, 500, 4.348, 4.566, 0.218, 1800, -1, 4.566, 4.809, 0.243, 500, 4.809, 4.819, 0.01, 0, 1, 4.819, 4.824, 0.005, 1,     2.824,
 8, 0, 2.25, 2.25, 2.26, 0.01, 1, 2.26, 2.474, 0.214, 0, 0, 2.474, 2.91, 0.436, 500, 2.91, 2.918, 0.008, 1800, -1, 2.918, 3.176, 0.258, 500, 3.176, 3.394, 0.218, 1800, -1, 3.394, 3.65, 0.256, 500, 3.65, 3.66, 0.01, 1800, -1, 3.66, 3.916, 0.256, 500, 3.916, 3.926, 0.01, 1800, -1, 3.926, 4.184, 0.258, 500, 4.184, 4.406, 0.222, 1800, -1, 4.406, 4.606, 0.2, 500, 4.606, 4.824, 0.218, 1800, -1, 4.824, 5.068, 0.245, 500, 5.068, 5.078, 0.01, 0, 1, 5.078, 5.088, 0.01, 1,     2.838,
 9, 0, 2.5, 2.5, 2.51, 0.01, 1, 2.51, 2.724, 0.214, 0, 0, 2.724, 3.168, 0.444, 500, 3.168, 3.176, 0.008, 1800, -1, 3.176, 3.432, 0.256, 500, 3.432, 3.65, 0.218, 1800, -1, 3.65, 3.906, 0.256, 500, 3.906, 3.916, 0.01, 1800, -1, 3.916, 4.174, 0.258, 500, 4.174, 4.184, 0.01, 1800, -1, 4.184, 4.436, 0.252, 500, 4.436, 4.658, 0.222, 1800, -1, 4.658, 4.858, 0.2, 500, 4.858, 5.076, 0.218, 1800, -1, 5.076, 5.318, 0.242, 500, 5.318, 5.328, 0.01, 0, 1, 5.328, 5.338, 0.01, 1,     2.838,
 10, 0, 2.75, 2.75, 2.76, 0.01, 1, 2.76, 2.974, 0.214, 0, 0, 2.974, 3.424, 0.45, 500, 3.424, 3.432, 0.008, 1800, -1, 3.432, 3.688, 0.256, 500, 3.688, 3.906, 0.218, 1800, -1, 3.906, 4.164, 0.258, 500, 4.164, 4.174, 0.01, 1800, -1, 4.174, 4.426, 0.252, 500, 4.426, 4.436, 0.01, 1800, -1, 4.436, 4.686, 0.25, 500, 4.686, 4.91, 0.224, 1800, -1, 4.91, 5.109, 0.2, 500, 5.109, 5.327, 0.218, 1800, -1, 5.327, 5.568, 0.24, 500, 5.568, 5.578, 0.01, 0, 1, 5.578, 5.585, 0.007, 1,     2.835,
 11, 0, 3, 3, 3.01, 0.01, 1, 3.01, 3.224, 0.214, 0, 0, 3.224, 3.68, 0.456, 500, 3.68, 3.688, 0.008, 1800, -1, 3.688, 3.946, 0.258, 500, 3.946, 4.164, 0.218, 1800, -1, 4.164, 4.426, 0.262, 500, 4.426, 4.436, 0.01, 1800, -1, 4.436, 4.686, 0.25, 500, 4.686, 4.696, 0.01, 1800, -1, 4.696, 4.945, 0.25, 500, 4.945, 5.167, 0.222, 1800, -1, 5.167, 5.367, 0.2, 500, 5.367, 5.585, 0.218, 1800, -1, 5.585, 5.828, 0.242, 500, 5.828, 5.838, 0.01, 0, 1, 5.838, 5.848, 0.01, 1,     2.848,
#======================================
#Number of workloads:12
#Timeout workloads:0
#Timeout workloads per cent:0
#Over workloads:0
#Over workloads per cent:0
#Number of Cloudlets:108
#Over Cloudlets:0
#Over Cloudlets per cent:0
#Number of transmissions:96
#Over transmissions:92
#Over transmissions per cent:0
#======================================
#Total serve time:33.83349999999997
#CPU serve time:22.716699999999975
#Network serve time:11.116799999999989
#Average total serve time:2.819458333333331
#Average CPU serve time per workload:1.8930583333333313
#Average network serve time per workload:0.9263999999999991
#Average CPU serve time per Cloudlet:0.2103398148148146
#Average network serve time per transmission:0.11579999999999989
